electrode_name,region
T01,ctx-lh-parstriangularis
T02,ctx-lh-parsopercularis
T03,ctx-lh-parsopercularis
T04,ctx-lh-precentral
T05,ctx-lh-postcentral
T06,ctx-lh-supramarginal
T07,ctx-lh-supramarginal
T08,ctx-lh-supramarginal
T09,ctx-lh-parstriangularis
T10,ctx-lh-parsopercularis
T11,ctx-lh-parsopercularis
T12,ctx-lh-precentral
T13,ctx-lh-postcentral
T14,ctx-lh-supramarginal
T15,ctx-lh-supramarginal
T18,ctx-lh-superiortemporal
T19,ctx-lh-superiortemporal
T20,ctx-lh-superiortemporal
T23,ctx-lh-supramarginal
T24,ctx-lh-supramarginal
T25,ctx-lh-middletemporal
T26,ctx-lh-middletemporal
T27,ctx-lh-superiortemporal
T28,ctx-lh-middletemporal
T29,ctx-lh-superiortemporal
T30,ctx-lh-superiortemporal
T31,ctx-lh-superiortemporal
T32,ctx-lh-middletemporal
T33,ctx-lh-middletemporal
T34,ctx-lh-middletemporal
T35,ctx-lh-middletemporal
T36,ctx-lh-middletemporal
T37,ctx-lh-middletemporal
T38,ctx-lh-middletemporal
T39,ctx-lh-middletemporal
T40,ctx-lh-middletemporal
T45,ctx-lh-middletemporal
T46,ctx-lh-middletemporal
T47,ctx-lh-middletemporal
T48,ctx-lh-middletemporal
TO51,ctx-lh-inferiorparietal
TO52,ctx-lh-inferiorparietal
TO53,ctx-lh-inferiorparietal
TO54,ctx-lh-inferiorparietal
TO59,ctx-lh-inferiorparietal
TO60,ctx-lh-inferiorparietal
TO61,ctx-lh-inferiorparietal
TO62,ctx-lh-inferiorparietal
TO63,ctx-lh-supramarginal
vT5,ctx-lh-superiortemporal
vT6,ctx-lh-superiortemporal
vT7,ctx-lh-superiortemporal
vT8,ctx-lh-superiortemporal
sT1,ctx-lh-superiortemporal
sT2,ctx-lh-superiortemporal
sT3,ctx-lh-superiortemporal
