electrode_name,region
T01,ctx-lh-inferiortemporal
T02,ctx-lh-inferiortemporal
T03,ctx-lh-inferiortemporal
T04,Left-Cerebellum-Cortex
T05,ctx-lh-inferiortemporal
T06,ctx-lh-fusiform
T07,ctx-lh-inferiortemporal
T08,ctx-lh-superiortemporal
T09,ctx-lh-middletemporal
T10,ctx-lh-inferiortemporal
T11,ctx-lh-inferiortemporal
T12,ctx-lh-inferiortemporal
T13,ctx-lh-middletemporal
T14,ctx-lh-superiortemporal
T15,ctx-lh-superiortemporal
T16,ctx-lh-superiortemporal
T17,ctx-lh-middletemporal
T18,ctx-lh-middletemporal
T19,ctx-lh-middletemporal
T20,ctx-lh-middletemporal
T21,ctx-lh-middletemporal
T22,ctx-lh-superiortemporal
T23,ctx-lh-superiortemporal
T24,ctx-lh-superiortemporal
T25,ctx-lh-inferiorparietal
T26,ctx-lh-middletemporal
T27,ctx-lh-superiortemporal
T28,ctx-lh-superiortemporal
T29,ctx-lh-superiortemporal
T30,ctx-lh-superiortemporal
T31,ctx-lh-superiortemporal
T32,ctx-lh-parsopercularis
C33,ctx-lh-rostralmiddlefrontal
C34,ctx-lh-rostralmiddlefrontal
C35,ctx-lh-rostralmiddlefrontal
C36,ctx-lh-caudalmiddlefrontal
C37,ctx-lh-caudalmiddlefrontal
C38,ctx-lh-precentral
C39,ctx-lh-precentral
C40,ctx-lh-postcentral
C41,ctx-lh-rostralmiddlefrontal
C42,ctx-lh-rostralmiddlefrontal
C43,ctx-lh-parsopercularis
C44,ctx-lh-parsopercularis
C45,ctx-lh-precentral
C46,ctx-lh-precentral
C47,ctx-lh-postcentral
C48,ctx-lh-supramarginal
C49,ctx-lh-rostralmiddlefrontal
C50,ctx-lh-parstriangularis
C51,ctx-lh-parstriangularis
C52,ctx-lh-parsopercularis
C53,ctx-lh-postcentral
C54,ctx-lh-postcentral
C55,ctx-lh-postcentral
C56,ctx-lh-supramarginal
C57,ctx-lh-parstriangularis
C58,ctx-lh-parstriangularis
C59,ctx-lh-parstriangularis
C60,ctx-lh-parsopercularis
C61,ctx-lh-precentral
C62,ctx-lh-postcentral
C63,ctx-lh-postcentral
C64,ctx-lh-superiortemporal
sT1,ctx-lh-inferiortemporal
sT2,ctx-lh-inferiortemporal
sT3,ctx-lh-inferiortemporal
sT4,ctx-lh-middletemporal
sT5,ctx-lh-inferiortemporal
sT6,ctx-lh-superiortemporal
sT7,ctx-lh-superiortemporal
sT8,ctx-lh-superiortemporal
vT1,ctx-lh-entorhinal
vT2,ctx-lh-superiortemporal
vT3,ctx-lh-superiortemporal
vT4,ctx-lh-superiortemporal
vT5,Left-Cerebral-White-Matter
vT6,ctx-lh-lateralorbitofrontal
vT7,ctx-lh-superiortemporal
vT8,ctx-lh-superiortemporal
